['\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00$GPGGA', '211237.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211327.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211328.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211329.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211330.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211331.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211332.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211333.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211334.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211335.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211336.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211337.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211338.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211339.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211340.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211341.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211342.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211343.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211344.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211345.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211346.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211347.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211348.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211349.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211350.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211351.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211352.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211353.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211354.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211355.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211356.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211357.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211358.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211359.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211400.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211401.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211402.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211403.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211404.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211405.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211406.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211407.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211408.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*44\r\n']
['$GPGGA', '211409.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*45\r\n']
['$GPGGA', '211410.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211411.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211412.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211413.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211414.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211415.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211416.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211417.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211418.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*45\r\n']
['$GPGGA', '211419.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*44\r\n']
['$GPGGA', '211420.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211421.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211422.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211423.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211424.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211425.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211426.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211427.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211428.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211429.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211430.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211431.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211432.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211433.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211434.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211435.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211436.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211437.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211438.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211439.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211440.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211441.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211442.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211443.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211444.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211445.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211446.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211447.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211448.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211449.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211450.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211451.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211452.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211453.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211454.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211455.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211456.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211457.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211458.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211459.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211500.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211501.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211502.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211503.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211504.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211505.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211506.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211507.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211508.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*45\r\n']
['$GPGGA', '211509.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*44\r\n']
['$GPGGA', '211510.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211511.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211512.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211513.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211514.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211515.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211516.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211517.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211518.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*44\r\n']
['$GPGGA', '211519.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*45\r\n']
['$GPGGA', '211520.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211521.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211522.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211523.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211524.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211525.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211526.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211527.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211528.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211529.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211530.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211531.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211532.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211533.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211534.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211535.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211536.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211537.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211538.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*46\r\n']
['$GPGGA', '211539.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*47\r\n']
['$GPGGA', '211540.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211541.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211542.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211543.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211544.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211545.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211546.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211547.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211548.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*41\r\n']
['$GPGGA', '211549.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
['$GPGGA', '211550.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*48\r\n']
['$GPGGA', '211551.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*49\r\n']
['$GPGGA', '211552.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4A\r\n']
['$GPGGA', '211553.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4B\r\n']
['$GPGGA', '211554.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4C\r\n']
['$GPGGA', '211555.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4D\r\n']
['$GPGGA', '211556.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4E\r\n']
['$GPGGA', '211557.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*4F\r\n']
['$GPGGA', '211558.525', '', '', '', '', '0', '0', '', '', 'M', '', 'M', '', '*40\r\n']
